"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",4006.32249009238,-0.0226626904160767,0.0837510243744577,-0.270595978799614,0.786701788936533,0.991396067209418
"Lypla1",3876.08865303007,0.125663603834477,0.148974786411997,0.843522631319288,0.398936214104451,0.949945546882485
"Tcea1",2792.23513032931,0.00683454674210356,0.116490386994721,0.0586704784697237,0.953214573586996,0.996231915686414
"Rgs20",12.8531137236463,-0.310401523970491,0.710679255600651,-0.436767390527174,0.662280050390158,0.983141693449201
"Atp6v1h",9079.5168225663,-0.108193584463968,0.0620376387719401,-1.74399907226812,0.0811592516091718,0.779331151532393
"Rb1cc1",2702.16667900576,0.0808025970981585,0.133699148554215,0.604361343897363,0.545603430228226,0.969293678865418
"St18",938.959241949145,-0.0525118500386096,0.104320067292822,-0.503372470909277,0.614702422795504,0.97929081814692
"Pcmtd1",2785.92498676245,0.0826672871010923,0.149938492789978,0.551341323784589,0.581399715623937,0.976592038079242
"Gm26901",15.0553107061065,-0.930809312746992,0.653976944504683,-1.4233060057675,0.154647466737462,0.866584513531627
"Rrs1",2838.68002762911,0.0140341784053774,0.0852862461870246,0.164553829401775,0.869295174487089,0.993510850409469
"Adhfe1",1182.79551300934,-0.178461212964929,0.0888406880679072,-2.00877792423803,0.0445606904246367,0.676882677111219
"2610203C22Rik",855.496357590972,0.105669414648657,0.117359158847925,0.900393422089746,0.367910920130845,0.946277062281015
"Vxn",23.2049698769995,0.575935887236015,0.451365692611966,1.27598507521293,0.201960795017576,0.885638325020146
"Mybl1",392.16924688137,0.00379239673426168,0.209465839851886,0.0181050845185224,0.985555021758023,0.997921391859776
"Vcpip1",5707.85912583161,0.172401054928128,0.153047217223584,1.12645664557409,0.259972281617579,0.9109051555492
"1700034P13Rik",22.7699485795398,0.207289610360409,0.471210097805746,0.439909100687106,0.660002944261658,0.983141693449201
"Sgk3",4621.93795751518,-0.0824163437720156,0.138311701974462,-0.59587397592167,0.551259419668431,0.970847765288558
"Gm6195",144.610785269382,0.0828338761440281,0.197254760903523,0.419933469613655,0.674534056508962,0.984308622132043
"Snhg6",1568.86044839559,-0.0582186481039889,0.13146111219453,-0.442858326178161,0.657868212170054,0.983141693449201
"Snord87",10.5683802450765,0.790104652696721,0.680387733858223,1.16125646212981,0.245537619373853,0.910502424413749
"Cops5",6894.11460003388,-0.101422603478679,0.0731074832074908,-1.38730809800723,0.165347834844732,0.871797194331203
"Cspp1",871.319090483118,0.104886037789139,0.0874728373491771,1.19906980232562,0.230500804927312,0.904965993570591
"Arfgef1",11131.6697463483,0.0270456094225572,0.121802887651202,0.2220440741931,0.824279573354735,0.993224689507666
"Ncoa2",3636.96309199803,-0.0514936918217367,0.114327221543796,-0.450406221076672,0.652417560052194,0.983141693449201
"Tram1",12197.4567706313,0.0256243689221668,0.119552613466157,0.214335497813443,0.830285437938699,0.993224689507666
"Lactb2",2101.87460992713,0.0344220398769263,0.105500544620781,0.326273575180636,0.744217379198024,0.991003378465361
"Eya1",4635.68243854189,-0.15401957837367,0.115860133211885,-1.32935785678754,0.18372993463884,0.871835969094399
"Gm51616",46.6444007542492,0.23214636514805,0.306395201121474,0.757669716426181,0.448648732694012,0.953849959065415
"Terf1",994.776386911791,-0.0595201784555452,0.107085617682468,-0.555818603316418,0.578334866647248,0.976592038079242
