"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atp6v1h",8378.69959099391,0.176807096672429,0.0440109654019825,4.01734192961976,5.88582906714118e-05,0.000262710499545194
"Gm6195",137.582835785145,-1.07782669250285,0.169157021540894,-6.37175260408731,1.86880173037158e-10,1.74716125738117e-09
"Mcmdc2",3.94336288633789,-1.15043194039609,1.40541611468893,-0.818570335413236,0.413031597585736,0.572834668084995
"Snhg6",1439.28925969417,-0.573067862853373,0.107543386964147,-5.32871317363682,9.89110567146147e-08,6.63295309244533e-07
"Ncoa2",3824.56264141146,0.313161433327987,0.0890195560128255,3.51789480148461,0.000434984765880664,0.00160928855897561
"Eya1",7218.84623567505,0.685833352357167,0.0846370537266936,8.10322810351872,5.35197571154636e-16,7.99138531605358e-15
"Rdh10",273.056651463379,0.245830888074801,0.171930650530842,1.4298258473157,0.152767008703006,0.263607430953627
"Stau2",2320.82322028143,0.800557077573567,0.060941629913093,13.1364566178361,2.03536772552369e-39,9.38756825405426e-38
"Mcm3",9177.37679092638,-0.508419740974309,0.0859372666395287,-5.91617305105734,3.29518517260125e-09,2.71395112132297e-08
"Gsta3",1854.30333589357,-3.43615987229553,0.273733235032108,-12.5529509483658,3.82967143109039e-36,1.57395704063923e-34
"Gm7094",63.6841087731151,0.16642560520513,0.245288851002383,0.678488257925404,0.497462166349551,0.646716396027869
"Fam135a",234.93516338729,0.525480873173405,0.176423812530546,2.97851443995081,0.00289649381138817,0.00901976429937907
"Gm46086",57.3149138266157,-0.000880433471773794,0.237694782482004,-0.00370405047422719,0.997044602072186,0.998969863191321
"Phf3",7258.78619369374,0.0781275282824748,0.0732096913594946,1.06717467088928,0.285892968023387,0.434703923174022
"Prim2",2125.83415514242,-0.108130589618653,0.0731479015351,-1.47824595578818,0.139341957391452,0.245921966467652
"1700001G17Rik",3.07389651111818,0.407208902174673,1.29651639346632,0.314079254397989,0.753460845461764,0.852908636354454
"Gm53546",39.8925225822736,-1.52861850552009,0.451872848837572,-3.38285097113583,0.00071737549107008,0.00250869895824086
"4930568A12Rik",17.2890023528335,0.376578092955555,0.533136887146492,0.706344096674896,0.479974176867057,0.631697149072655
"Fam168b",15554.2875498089,0.246963463840802,0.0567977797371712,4.34811827123546,1.37310555822352e-05,6.7935174877066e-05
"Plekhb2",12456.6095823048,0.468748253713669,0.0556956184566056,8.4162500875879,3.88726997437895e-17,6.40319748557422e-16
"Gm53548",38.0779882872461,-0.20330293722186,0.397177810070205,-0.511868820632061,0.608742820907965,0.739289482033049
"Gm33280",9.45833724689247,-0.282720603947501,0.773448145490088,-0.365532719415027,0.714713787452942,0.824104703254767
"Uggt1",13179.0904795236,0.549225398344327,0.0638951107197455,8.59573435522039,8.27339918432067e-18,1.48029655233255e-16
"Gm33454",13.0262734451511,-0.609813850028232,0.724439692531375,-0.841773105912223,0.399914968491224,0.559692189550596
"Cnnm4",946.741225986334,0.0941953488626108,0.0967218710051291,0.973878481503068,0.330116879289177,0.48593252811263
"Tmem131",11793.5349542087,0.570961270967752,0.0796625625240755,7.16724710927039,7.65208400450458e-13,8.72631887436772e-12
"Cracdl",11.9291987011313,-2.10160857631365,0.673491698130358,-3.12046693693153,0.00180564566858113,0.0058878516655776
"Rev1",927.967078419999,-0.349978734203665,0.0981741561638384,-3.56487641838858,0.000364027669696868,0.00137743995567738
"Pdcl3",3970.3707649082,-0.307594762153692,0.0615924885196609,-4.99403043368682,5.91320734392531e-07,3.54706989662341e-06
"Creg2",277.637651240422,-1.87599011628514,0.170822872068614,-10.9820780646495,4.6607716956631e-28,1.4546513765938e-26
"D930019O06Rik",7.36814677987805,-0.211127441121992,1.07774097190075,-0.195898130094877,0.844689900881283,0.915485059675772
"Il1r1",261.432902151763,0.860446534256673,0.164825049645237,5.22036265791312,1.78573095849048e-07,1.14391500134166e-06
"Il1rl2",68.0147920501759,1.88027027631181,0.349917057015566,5.37347419513809,7.72338627385014e-08,5.25570105291015e-07
"Il1rl1",1111.17312535585,-0.299583130205958,0.0933935993385293,-3.20774798624092,0.00133778669547432,0.00445820021047077
"AI597479",1451.50311258374,-0.198663756552827,0.0967718175488056,-2.05290922073086,0.0400813825823455,0.0875212094157371
"Ccdc168",2.67614416082312,1.01163837733642,1.37823038686809,0.734012533010015,0.462941099654027,0.615327731240431
"Tex30",959.898919145152,-0.792471232371397,0.110789220352687,-7.15296334651189,8.4924286697336e-13,9.60546904851885e-12
"Poglut2",1389.57556532035,-0.0552783121218674,0.0843988246113429,-0.654965426075829,0.51249001441284,0.660396393634137
"Slc39a10",3815.15877344655,-0.235149614111086,0.0761331215689944,-3.08866376768731,0.00201058845755059,0.00649996315209697
"Myo1b",4.12223153885968,-2.89506013368728,1.37382554498447,-2.10729822593305,0.0350917370483888,0.0786957323003036
"Nemp2",302.253357127216,-0.361981345013666,0.127931146409617,-2.82950129950885,0.00466206106848014,0.013773818857837
