"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","BP","GO:0035458","cellular response to interferon-beta",35,-0.777116252416868,-2.90204941353511,1e-10,1.51833333333333e-08,1.28654970760234e-08,318,"tags=77%, list=13%, signal=68%","Stat1/Irgm2/Irgm1/Ifi47/Ifi214/Gm12185/Igtp/Ifi208/Gbp2b/Ifi209/Ifi211/Ifit3/Ifnb1/Gbp7/Acod1/Ifit1/Tgtp1/Ifi213/Gbp3/Gbp6/Ifi205/Ifi206/F830016B08Rik/Gbp2/Tgtp2/Gm4841/Iigp1"
"2","BP","GO:0035456","response to interferon-beta",40,-0.747185195935829,-2.86685750806964,1e-10,1.51833333333333e-08,1.28654970760234e-08,318,"tags=70%, list=13%, signal=62%","Stat1/Irgm2/Irgm1/Ifi47/Xaf1/Ifi214/Gm12185/Igtp/Ifi208/Gbp2b/Ifi209/Ifi211/Ifit3/Ifnb1/Gbp7/Acod1/Ifit1/Tgtp1/Ifi213/Gbp3/Gbp6/Ifi205/Ifi206/F830016B08Rik/Gbp2/Tgtp2/Gm4841/Iigp1"
"3","BP","GO:0051607","defense response to virus",83,-0.575139095231891,-2.47436353638421,1e-10,1.51833333333333e-08,1.28654970760234e-08,669,"tags=64%, list=27%, signal=48%","Trim34a/Bst2/Rigi/Treml4/Oas1a/Stat2/Oas2/Ifit1bl2/Zc3h12a/Oas1g/Trim5/H2-Q9/Oas3/Oas1b/Ifi204/Trim30a/Dhx58/Slfn8/Cd40/Irf1/Ifih1/Isg20/Stat1/Oasl1/Il27/Ddx60/Ifit2/Mx2/Il1b/Oasl2/Rtp4/Gbp2b/Irf7/Isg15/Ifit3/Ifit1bl1/Ifnb1/Ifit3b/Gbp7/Acod1/Il23r/Ifit1/Mx1/Rsad2/Cxcl10/Trim30d/Il12b/Ifi206/Zbp1/Ccl5/Cxcl9/Gbp4/Il6"
"4","BP","GO:0140546","defense response to symbiont",83,-0.575139095231891,-2.47436353638421,1e-10,1.51833333333333e-08,1.28654970760234e-08,669,"tags=64%, list=27%, signal=48%","Trim34a/Bst2/Rigi/Treml4/Oas1a/Stat2/Oas2/Ifit1bl2/Zc3h12a/Oas1g/Trim5/H2-Q9/Oas3/Oas1b/Ifi204/Trim30a/Dhx58/Slfn8/Cd40/Irf1/Ifih1/Isg20/Stat1/Oasl1/Il27/Ddx60/Ifit2/Mx2/Il1b/Oasl2/Rtp4/Gbp2b/Irf7/Isg15/Ifit3/Ifit1bl1/Ifnb1/Ifit3b/Gbp7/Acod1/Il23r/Ifit1/Mx1/Rsad2/Cxcl10/Trim30d/Il12b/Ifi206/Zbp1/Ccl5/Cxcl9/Gbp4/Il6"
"5","BP","GO:0009615","response to virus",98,-0.559817755039133,-2.4579092182088,1e-10,1.51833333333333e-08,1.28654970760234e-08,669,"tags=61%, list=27%, signal=46%","Trim34a/Bst2/Rigi/Treml4/Oas1a/Stat2/Irak3/Oas2/Ifit1bl2/Zc3h12a/Oas1g/Trim5/H2-Q9/Oas3/Oas1b/Ifi204/Trim30a/Dhx58/Slfn8/Cd40/Irf1/Ifih1/Isg20/Tnfsf4/Tnf/Stat1/Oasl1/Il27/Irgm1/Igtp/Ddx60/Ifit2/Mx2/Il1b/Oasl2/Rtp4/Gbp2b/Irf7/Isg15/Ifit3/Ifit1bl1/Ifnb1/Ifit3b/Gbp7/Acod1/Il23r/Ifit1/Mx1/Tgtp1/Rsad2/Cxcl10/Trim30d/Il12b/Ifi206/Zbp1/Ccl5/Lcn2/Cxcl9/Gbp4/Il6"
"6","MF","GO:0030545","signaling receptor regulator activity",97,-0.555741238013682,-2.43345372116838,1e-10,1.51833333333333e-08,1.28654970760234e-08,281,"tags=40%, list=11%, signal=37%","Zp3/Il10/Sema3g/Il27/Lypd6b/Sema3c/Ccl12/Uts2b/Il1a/Saa3/Bmp1/Flrt3/Pnoc/Tnfsf10/Il7/Il1b/Ly6i/Il36g/Cxcl11/Prl2c2/Ly6a/Ly6c2/Ly6c1/Fbn1/Edn1/Ccl22/Ifnb1/Gdnf/Cxcl2/Il36a/Csf2/Cxcl10/Il12b/Csf3/Adh7/Ccl5/Cxcl9/Ccl8/Il6"
"7","BP","GO:0009617","response to bacterium",207,-0.512611719657301,-2.39948207380889,1e-10,1.51833333333333e-08,1.28654970760234e-08,745,"tags=57%, list=30%, signal=43%","Lgals9/Nr1h3/Znfx1/Ptger2/Casp4/Nfkbia/Npy/Tnfrsf1b/Cx3cl1/Tent5a/Clec4e/Fcgr4/Cav1/Fcgr1/Tnfrsf14/Gbp8/Cd6/Tnip3/Oas1a/Cubn/Irak3/Slfn2/Wfdc17/Oas2/Nlrc5/Cxcl16/Zc3h12a/Spink5/Oas1g/Trim5/Lta/Rnase6/Oas3/Mir133a-2/Ifi204/Cd52/Trim30a/Dhx58/Cxcl3/Rnf213/Herc6/Nod1/Pfpl/C3/Tnfsf4/Adamts4/Tnf/Cd274/Stat1/AA467197/Krt6a/Slamf8/Irgm2/Bpi/Il10/Ptgs2/Gsta2/Trdc/Irgm1/Gsta1/Slfn4/S100a8/Ccl12/Acp5/Il1a/Saa3/Gbp9/Gpr31b/Igtp/Usp18/C2/Mx2/Iglc2/Il1b/Camp/Gbp2b/Isg15/Il36g/Klrk1/Ifi211/Cxcl11/Ly6a/Ifit3/Pglyrp3/Gm12250/Wfdc21/Ifnb1/Saa1/Cfb/Gbp7/Acod1/Cxcl2/Il36a/Cmpk2/Il23r/Ifit1/Tgtp1/Gbp3/Gbp10/Cxcl10/Gbp6/Trim30d/Ifi205/Gbp11/Il12b/Ifi44/Gbp2/Adh7/Ccl5/Lcn2/Cxcl9/Gbp4/Il6/Nos2/Gbp5/Iigp1/Serpina3f"
"8","BP","GO:0071345","cellular response to cytokine stimulus",197,-0.507393844377934,-2.36983585306615,1e-10,1.51833333333333e-08,1.28654970760234e-08,219,"tags=29%, list=9%, signal=29%","Ifi47/Ccl12/Il1a/Ifi214/Gm12185/Saa3/Gbp9/Igtp/Ifit2/Ifi208/Il7/Il1b/Oasl2/Adamts7/Traf1/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Ifi211/Socs1/Cxcl11/Ifit3/Edn1/Ccl22/Ifnb1/Gbp7/Acod1/Cxcl2/Il36a/Il23r/Csf2/Ifit1/Tgtp1/Ifi213/Gbp3/Gbp10/Cxcl10/Gbp6/Ifi205/Gbp11/Il12b/Csf3/Ifi206/F830016B08Rik/Gbp2/Zbp1/Ccl5/Tgtp2/Cxcl9/Gm4841/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1"
"9","BP","GO:0034097","response to cytokine",229,-0.501791492346674,-2.3656052389013,1e-10,1.51833333333333e-08,1.28654970760234e-08,351,"tags=34%, list=14%, signal=33%","Socs3/Arg1/Myc/Tnf/Cd274/Ubd/Stat1/Parp14/Irgm2/Serpina3i/Ptgs2/Oasl1/Serpina3c/Irgm1/Ifi47/Xaf1/Ccl12/Acp5/Serpina3h/Il1a/Ifi214/Gm12185/Saa3/Gbp9/Igtp/Ifit2/Ifi208/Il7/Il1b/Oasl2/Adamts7/Traf1/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Ifi211/Socs1/Cxcl11/Mefv/Ifit3/Edn1/Ccl22/Wfdc21/Ifnb1/Gbp7/Acod1/Cxcl2/Il36a/Il23r/Csf2/Ifit1/Tgtp1/Ifi213/Gbp3/Gbp10/Cxcl10/Gbp6/Serpina3g/Ifi205/Gbp11/Il12b/Csf3/Ifi206/F830016B08Rik/Gbp2/Zbp1/Ccl5/Tgtp2/Cxcl9/Gm4841/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1/Serpina3f"
"10","BP","GO:0043207","response to external biotic stimulus",357,-0.486090637786225,-2.33127622186531,1e-10,1.51833333333333e-08,1.28654970760234e-08,750,"tags=53%, list=31%, signal=43%","Cybb/Lgals9/Nr1h3/Znfx1/Mmp12/Ptger2/Casp4/Nfkbia/Il12rb1/Npy/Tnfrsf1b/Cx3cl1/Clec4a2/Tent5a/Ccr1/Clec4e/Fcgr4/Cav1/Trim34a/Ccl4/Bst2/Hpx/Fcgr1/Tnfrsf14/Rigi/Gbp8/Cd6/Evl/Treml4/Tnip3/Oas1a/Stat2/Cubn/Irak3/Slfn2/Wfdc17/Oas2/Batf/Nlrc5/Cxcl16/Ifit1bl2/Zc3h12a/Slc15a3/Spink5/Oas1g/Trim5/Lta/H2-Q9/Sh2d1b1/Serpinb9b/Rnase6/Oas3/Clec4a1/Mir133a-2/Sp100/Oas1b/Ifi204/Ccl7/H2-Bl/Ccl17/Cd52/Trim30a/Dhx58/Cxcl3/Slfn8/Cd40/Cdc42ep2/Rnf213/Irf1/Herc6/Tap1/Hc/Nod1/Ciita/Pfpl/Ch25h/Ifih1/Isg20/C3/Grpr/Tnfsf4/Adamts4/Tlr12/Arg1/Tnf/Klri1/Slamf1/Slamf6/Cd274/Ubd/Stat1/AA467197/Krt6a/Parp14/Slamf8/Irgm2/Trim30b/C1s1/Bpi/Il10/Ptgs2/Oasl1/Il27/Tarm1/Gsta2/Trdc/Irgm1/Gsta1/Slfn4/S100a8/Ccl12/Acp5/Rasgrp1/Slamf7/Il1a/Ifi214/Saa3/Gbp9/Gpr31b/Igtp/Usp18/Ddx60/Ifit2/C2/Mx2/Ifi208/Iglc2/Il1b/Oasl2/Trim30c/Rtp4/Camp/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Klrk1/Ifi211/Socs1/Cxcl11/Ly6a/Mefv/Ifit3/Pglyrp3/Ccl22/Ifit1bl1/Gm12250/Styk1/Wfdc21/Ifnb1/Saa1/Cfb/Ifit3b/Gbp7/Acod1/Cxcl2/Il36a/Cmpk2/Il23r/Ifit1/Mx1/Tgtp1/Gbp3/Gbp10/Rsad2/Cxcl10/Gbp6/Trim30d/Batf2/Ifi205/Gbp11/Il12b/Ifi206/Ifi44/Gbp2/Zbp1/Adh7/Ccl5/Marco/Lcn2/Cxcl9/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1/Serpina3f"
"11","BP","GO:0098542","defense response to other organism",295,-0.48939629490165,-2.3285450766003,1e-10,1.51833333333333e-08,1.28654970760234e-08,669,"tags=50%, list=27%, signal=41%","Trim34a/Ccl4/Bst2/Hpx/Fcgr1/Tnfrsf14/Rigi/Gbp8/Evl/Treml4/Oas1a/Stat2/Irak3/Wfdc17/Oas2/Batf/Nlrc5/Cxcl16/Ifit1bl2/Zc3h12a/Slc15a3/Spink5/Oas1g/Trim5/Lta/H2-Q9/Sh2d1b1/Serpinb9b/Rnase6/Oas3/Clec4a1/Sp100/Oas1b/Ifi204/Ccl7/H2-Bl/Ccl17/Trim30a/Dhx58/Cxcl3/Slfn8/Cd40/Cdc42ep2/Rnf213/Irf1/Herc6/Tap1/Hc/Nod1/Ciita/Pfpl/Ch25h/Ifih1/Isg20/C3/Tnfsf4/Adamts4/Tlr12/Arg1/Tnf/Klri1/Slamf1/Slamf6/Ubd/Stat1/Krt6a/Parp14/Slamf8/Irgm2/Trim30b/C1s1/Bpi/Il10/Oasl1/Il27/Tarm1/Trdc/Irgm1/S100a8/Ccl12/Acp5/Rasgrp1/Slamf7/Ifi214/Gbp9/Igtp/Ddx60/Ifit2/C2/Mx2/Ifi208/Iglc2/Il1b/Oasl2/Trim30c/Rtp4/Camp/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Klrk1/Ifi211/Socs1/Cxcl11/Mefv/Ifit3/Pglyrp3/Ccl22/Ifit1bl1/Styk1/Wfdc21/Ifnb1/Cfb/Ifit3b/Gbp7/Acod1/Cxcl2/Il36a/Il23r/Ifit1/Mx1/Tgtp1/Gbp3/Gbp10/Rsad2/Cxcl10/Gbp6/Trim30d/Batf2/Ifi205/Gbp11/Il12b/Ifi206/Gbp2/Zbp1/Ccl5/Marco/Lcn2/Cxcl9/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1"
"12","BP","GO:0051707","response to other organism",356,-0.484979973438475,-2.32482519840387,1e-10,1.51833333333333e-08,1.28654970760234e-08,750,"tags=53%, list=31%, signal=43%","Cybb/Lgals9/Nr1h3/Znfx1/Mmp12/Ptger2/Casp4/Nfkbia/Il12rb1/Npy/Tnfrsf1b/Cx3cl1/Clec4a2/Tent5a/Ccr1/Clec4e/Fcgr4/Cav1/Trim34a/Ccl4/Bst2/Hpx/Fcgr1/Tnfrsf14/Rigi/Gbp8/Cd6/Evl/Treml4/Tnip3/Oas1a/Stat2/Cubn/Irak3/Slfn2/Wfdc17/Oas2/Batf/Nlrc5/Cxcl16/Ifit1bl2/Zc3h12a/Slc15a3/Spink5/Oas1g/Trim5/Lta/H2-Q9/Sh2d1b1/Serpinb9b/Rnase6/Oas3/Clec4a1/Mir133a-2/Sp100/Oas1b/Ifi204/Ccl7/H2-Bl/Ccl17/Cd52/Trim30a/Dhx58/Cxcl3/Slfn8/Cd40/Cdc42ep2/Rnf213/Irf1/Herc6/Tap1/Hc/Nod1/Ciita/Pfpl/Ch25h/Ifih1/Isg20/C3/Tnfsf4/Adamts4/Tlr12/Arg1/Tnf/Klri1/Slamf1/Slamf6/Cd274/Ubd/Stat1/AA467197/Krt6a/Parp14/Slamf8/Irgm2/Trim30b/C1s1/Bpi/Il10/Ptgs2/Oasl1/Il27/Tarm1/Gsta2/Trdc/Irgm1/Gsta1/Slfn4/S100a8/Ccl12/Acp5/Rasgrp1/Slamf7/Il1a/Ifi214/Saa3/Gbp9/Gpr31b/Igtp/Usp18/Ddx60/Ifit2/C2/Mx2/Ifi208/Iglc2/Il1b/Oasl2/Trim30c/Rtp4/Camp/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Klrk1/Ifi211/Socs1/Cxcl11/Ly6a/Mefv/Ifit3/Pglyrp3/Ccl22/Ifit1bl1/Gm12250/Styk1/Wfdc21/Ifnb1/Saa1/Cfb/Ifit3b/Gbp7/Acod1/Cxcl2/Il36a/Cmpk2/Il23r/Ifit1/Mx1/Tgtp1/Gbp3/Gbp10/Rsad2/Cxcl10/Gbp6/Trim30d/Batf2/Ifi205/Gbp11/Il12b/Ifi206/Ifi44/Gbp2/Zbp1/Adh7/Ccl5/Marco/Lcn2/Cxcl9/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1/Serpina3f"
"13","BP","GO:0009607","response to biotic stimulus",361,-0.481154885899689,-2.30751736106411,1e-10,1.51833333333333e-08,1.28654970760234e-08,750,"tags=52%, list=31%, signal=43%","Cybb/Lgals9/Nr1h3/Znfx1/Mmp12/Ptger2/Casp4/Nfkbia/Il12rb1/Npy/Tnfrsf1b/Cx3cl1/Clec4a2/Tent5a/Ccr1/Clec4e/Fcgr4/Cav1/Trim34a/Ccl4/Bst2/Hpx/Fcgr1/Tnfrsf14/Rigi/Gbp8/Cd6/Evl/Treml4/Tnip3/Oas1a/Stat2/Cubn/Irak3/Slfn2/Wfdc17/Oas2/Batf/Nlrc5/Cxcl16/Ifit1bl2/Zc3h12a/Slc15a3/Spink5/Oas1g/Trim5/Lta/H2-Q9/Sh2d1b1/Serpinb9b/Rnase6/Oas3/Clec4a1/Mir133a-2/Sp100/Oas1b/Ifi204/Ccl7/H2-Bl/Ccl17/Cd52/Trim30a/Dhx58/Cxcl3/Slfn8/Cd40/Cdc42ep2/Rnf213/Irf1/Herc6/Tap1/Hc/Nod1/Ciita/Pfpl/Ch25h/Ifih1/Isg20/C3/Grpr/Tnfsf4/Adamts4/Tlr12/Arg1/Tnf/Klri1/Slamf1/Slamf6/Cd274/Ubd/Stat1/AA467197/Krt6a/Parp14/Slamf8/Irgm2/Trim30b/C1s1/Bpi/Il10/Ptgs2/Oasl1/Il27/Tarm1/Gsta2/Trdc/Irgm1/Gsta1/Slfn4/S100a8/Ccl12/Acp5/Rasgrp1/Slamf7/Il1a/Ifi214/Saa3/Gbp9/Gpr31b/Igtp/Usp18/Ddx60/Ifit2/C2/Mx2/Ifi208/Iglc2/Il1b/Oasl2/Trim30c/Rtp4/Camp/Gbp2b/Ifi209/Irf7/Isg15/Il36g/Klrk1/Ifi211/Socs1/Cxcl11/Ly6a/Mefv/Ifit3/Pglyrp3/Ccl22/Ifit1bl1/Gm12250/Styk1/Wfdc21/Ifnb1/Saa1/Cfb/Ifit3b/Gbp7/Acod1/Cxcl2/Il36a/Cmpk2/Il23r/Ifit1/Mx1/Tgtp1/Gbp3/Gbp10/Rsad2/Cxcl10/Gbp6/Trim30d/Batf2/Ifi205/Gbp11/Il12b/Ifi206/Ifi44/Gbp2/Zbp1/Adh7/Ccl5/Marco/Lcn2/Cxcl9/Ccl8/Gbp4/Il6/Nos2/Gbp5/Iigp1/Serpina3f"
