"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Significance","Label","Comparison","Mean_log2FC"
"M1_polarization","M1_polarization",42,-0.76762314890801,-2.16787559939047,1.69485149252549e-08,8.47425746262745e-08,3.56810840531682e-08,3286,"tags=62%, list=14%, signal=53%","Vcan/Nampt/Atf3/Il15/Pfkfb3/Ccr7/Slc2a6/Psme2/Pla1a/Il15ra/Psmb9/Slc31a2/Sphk1/Fas/Irf1/Il2ra/Tnf/Apol6/Xaf1/Tnfsf10/Irf7/Edn1/Il12b/Ccl5/Cxcl9/Il6","**","M1_polarization **","M1_ADT_vs_U",-3.08991974668722
"Inflammasome","Inflammasome",25,-0.686383669508764,-1.76524391246282,0.00201802159589728,0.00461132100599283,0.00194160884462856,3614,"tags=44%, list=15%, signal=37%","Pstpip1/Nfkbib/Ctsl/Nlrp3/Tnfaip3/Irf1/Tnfsf4/Il18bp/Ptgs2/Il1a/Il1b","**","Inflammasome **","M1_ADT_vs_U",-1.79779794220889
"Pyroptosis","Pyroptosis",24,-0.683241752125555,-1.74652902393828,0.0027667926035957,0.00461132100599283,0.00194160884462856,1714,"tags=29%, list=7%, signal=27%","Nlrp3/Nod2/Nod1/Tnf/Il1a/Il1b/Il6","**","Pyroptosis **","M1_ADT_vs_U",-1.53308840927997
"M2_polarization","M2_polarization",35,0.402404118393462,1.26953441840153,0.11890243902439,0.148628048780488,0.0625802310654685,1412,"tags=20%, list=6%, signal=19%","Slco2b1/Mrc1/Tlr5/Cxcr4/Hnmt/P2ry13/Selenop","","M2_polarization ","M1_ADT_vs_U",0.243338053874713
"Aerobic_Glycolysis","Aerobic_Glycolysis",21,-0.236777617835361,-0.587622252930943,0.95968992248062,0.95968992248062,0.404079967360261,7509,"tags=67%, list=32%, signal=45%","Aldoa/Pfkp/Ldha/Tpi1/Pgam1/Pgk1/Pgam2/Pfkl/Pkm/Bsg/Slc16a3/Hk1/Eno2/Slc2a1","","Aerobic_Glycolysis ","M1_ADT_vs_U",-0.18651565284912
"M2_polarization","M2_polarization",35,0.541890545414474,1.22320143296233,0.157453936348409,0.787269681742043,0.787269681742043,2720,"tags=11%, list=12%, signal=10%","Fn1/Car2/Egr2/Fgl2","","M2_polarization ","M1_NLRP3_vs_U",0.162366850486202
"M1_polarization","M1_polarization",42,0.321945479551766,0.751699691429267,0.911037891268534,1,1,5445,"tags=24%, list=23%, signal=18%","Ccl19/Inhba/Sphk1/Ccr7/Apol6/Tymp/Slc7a5/Vcan/Il15ra/Pla1a","","M1_polarization ","M1_NLRP3_vs_U",0.079812428127834
"Pyroptosis","Pyroptosis",24,-0.258136068547275,-0.577587455039457,0.984054669703872,1,1,7721,"tags=46%, list=33%, signal=31%","Casp8/Casp9/Nlrp1a/Tnf/Gsdmd/Gpx4/Prkaca/Plcg1/Il18/Il1a/Il1b","","Pyroptosis ","M1_NLRP3_vs_U",-0.0273735570138774
"Aerobic_Glycolysis","Aerobic_Glycolysis",21,-0.262075134168157,-0.567482409471926,0.990740740740741,1,1,17347,"tags=100%, list=74%, signal=26%","Slc16a1/Pfkp/Pkm/Hk1/Eno1/Gpi1/Aldoa/Pgam1/Pklr/Ldhb/Slc2a1/Pfkl/Slc16a3/Pfkm/Eno3/Eno2/Pgk1/Bsg/Tpi1/Ldha","","Aerobic_Glycolysis ","M1_NLRP3_vs_U",-0.00421402818921156
"Inflammasome","Inflammasome",25,0.228742629043718,0.48367829227617,1,1,1,2041,"tags=4%, list=9%, signal=4%","Tnfsf4","","Inflammasome ","M1_NLRP3_vs_U",0.0300570102756039
